date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:36	129737/129737	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-1fac9%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/layout-2-columns.html	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/layout-2-columns.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:36	157909/157909	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bdb-268d5%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/color-palette-primary.html	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/color-palette-primary.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:36	135706/135706	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-2121a%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/changelog.html	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/changelog.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:37	9348/9348	---M--	200	added ('OK')	image/png	etag:%225bf91975-2484%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-19.png	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-19.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:37	9618/9618	---M--	200	added ('OK')	image/png	etag:%225bf91975-2592%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-2.png	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-2.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:37	8732/8732	---M--	200	added ('OK')	image/png	etag:%225bf91975-221c%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-3.png	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-3.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:37	8699/8699	---M--	200	added ('OK')	image/png	etag:%225bf91975-21fb%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-6.png	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-6.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:37	8488/8488	---M--	200	added ('OK')	image/png	etag:%225bf91975-2128%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-1.png	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/portrait/small/avatar-s-1.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:38	166511/166511	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bdb-28a6f%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/user-profile.html	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/user-profile.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
10:32:38	144995/144995	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-23663%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/email-application.html	H:/template/real/admin/robusta/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/email-application.html	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/)
